NAISTYP_SORT; NAISTYP_C; NAISTYP_LAT; NAISTYP_NWLD; NAISTYP_HDOM_MIN; NAISTYP_HDOM_MAX; NAISTYP_HMAX_NAD; NAISTYP_HMAX_LAU; NAISTYP_BEM4; NAISTYP_STAO; NAISTYP_VASP; NAISTYP_HUMF; NAISTYP_ENT; NAISTYP_EIG; NTYP_KG_FEIN; NTYP_KG_GESTEIN; NAISTYP_KG_V; NAISTYP_KG_T_MIN; NAISTYP_KG_T_MAX; NTYP_AM_S; NTYP_AM_B; NTYP_RT_MITTELH; NTYP_RT_MULDE; NTYP_RT_KUPPE; NTYP_RT_PLATEAU; NTYP_RT_STEILH; NTYP_FELS; NTYP_BL_FELS_ST; NTYP_BL_FELS_WE; NTYP_BL_KARREN; NTYP_BL_SCHUTT_M; NTYP_BL_SCHUTT_S; NTYP_BL_SCHUTT_X; NTYP_STEINSCHLAG; NTYP_LAWINEN; NTYP_RUTSCHUNG; NTYP_EROSION; NTYP_WASS_BACH; NTYP_WASS_KLEIN; NTYP_WASS_QUELL; NTYP_WECHSELF; NAISTYP_GFX
13.1;13*   ;Tilio-Fagetum (Insubrische Ausbildung);"Wüchsige Buchenwälder oder Laubmischwälder wo die Buche noch fähig ist die Dominanz zu erreichen
";18;24;26;26;;"Leicht azonalen Standorten mit Basenreichtum. Mässig bewegter Schutt; sichbar aber nicht auffallend. Wenige Hohlräume im Bodenprofil. Der Standort kann austrocken aber ist meistens noch genügen frisch und ruhig dass die Buche zur Dominanz kommen kann.
";"Wüchsige Mischbestände mit teilweise üppige Krautschichten; in den unteren Lagen vermehrt mit immergrünen Unterschichten
";Mull bis Moder;"Kolluviale Brauunerde; teilw. Rendzina mit verbraunte Oberboden
";"Humusreiche Schuttböden; Skelettgehalt sehr hoch; Gründigkeit tief; Durchlässigkeit normal; keine Vernässung
";2;1;9;;;2;1;1;1;0;9;2;0;2;1;0;1;2;1;2;0;2;2;0;0;0;0;13Stern
13.001;13a   ;Tilio-Fagetum typicum;"Buche dominiert; daneben spielen Linde und Bergahorn eine wichtige Rolle; dazu Esche.
";20;30;33;30;;"Hänge mit mässig bewegtem Kalkschutt; frisch; Nord-(submontan) bis Süd-Exposition
";"Krautig. Oft dominieren Fiederblättrige Zahnwurz oder Bingelkraut; manchmal Farne.
";"Mull (Kalkmull); stellenweise erodiert";"Rendzina; Pararendzina; stellenweise vernässt
";"Humusreiche Kalkschuttböden; Skelettgehalt sehr hoch; Gründigkeit sehr tief; starke biologische Aktivität; Durchlässigkeit gering bis hoch; schwach pseudovergleyt bis keine Vernässung
";9;1;1;;30;0;1;1;2;0;0;1;1;2;1;2;1;2;2;1;0;0;1;0;0;0;0;13a
13.005;13e   ;Tilio-Fagetum caricetosum albae;"Buche dominiert; daneben spielen Linde und Mehlbeere eine wichtige Rolle; dazu Esche und Ahorn.
";16;28;30;28;;"Hänge mit mässig bewegtem; trockenem Kalkschutt; v. a. Südlagen
";"Krautig bis lückig. Steine sichtbar. Verletzungen an Baumstämmen.
";"Mull; Moder (Kalkmull; Kalkmoder); stellenweise trockene Ausprägung; stellenweise erodiert";"Rendzina; Pararendzina
";"Humusreiche Kalkschuttböden; Skelettgehalt sehr hoch; Gründigkeit tief; Durchlssigkeit normal; keine Vernässung
";9;1;;;;0;1;1;2;0;0;1;1;2;1;2;1;2;2;1;0;0;1;0;0;0;0;13e
13.006;13eh  ;Adenostylo-Fagetum seslerietosum;"Mässig wüchsiger Buchenwald mit Bergahorn; Mehlbeere.
";15;25;30;25;;"Hänge mit mässig bewegtem Kalkschutt; v. a. Südlagen; trocken
";"Krautig. Oft dominieren Trockenheitszeiger. Steine sichtbar. Verletzungen an Baumstämmen.
";"Mull; Moder (Kalkmull; Kalkmoder); stellenweise trockene Ausprägung; stellenweise erodiert";"Rendzina; Pararendzina
";"Humusreiche Kalkschuttböden; Skelettgehalt sehr hoch; Gründigkeit tief; starke biologische Aktivität; durchlässig; keine Vernässung
";9;1;;;;0;1;1;2;0;0;1;1;2;1;2;1;2;2;1;0;0;1;0;0;0;0;13eh
13.009;13h   ;Adenostylo-Fagetum typicum;"Buchenwald mit Bergahorn.
";20;30;35;30;;"Hänge mit mässig bewegtem Kalkschutt; frisch; Nord-(submontan) bis Süd-Exposition
";"Krautig. Oft dominiert der Alpendost. Steine sichtbar. Verletzungen an Baumstämmen.
";Mull (Kalkmull);"Rendzina; Pararendzina; stellenweise vernässt

";"Humusreiche Kalkschuttböden; Skelettgehalt sehr hoch; Gründigkeit sehr tief; starke biologische Aktivität; durchlässig; schwach pseudovergleyt bis keine Vernässung
";9;1;1;30;;0;1;1;2;0;0;1;1;2;1;2;1;2;2;1;0;0;1;0;0;0;0;13h
14;14;Carici (albae)-Fagetum typicum;"Buchenwald mit Eichen und anderen wärmeliebenden Baumarten; oft knorrige Stämme. Die Lärche ist im Mittelland und Jura wenig geeignet; in den kontinentaler geprägten Gebieten (2a und angerenzend) gedeiht sie gut. 
";15;25;28;25;;"Warme; trockene Standorte auf Kalk.
";"Krautig oder gras-/seggenreich. Oft strauchreich.
";Kalkmull (stellenweise trockene Ausprägung);"Rendzina; Pararendzina; stellenweise verbraunt
";"Skelettgehalt sehr hoch; Gründigkeit tief; durchlässig; keine Vernässung
";9;1;1;;25;0;1;1;0;2;2;1;1;2;1;2;0;0;1;2;0;0;2;0;0;0;2;14
14.1;14*   ;Cephelanthero-Fagetum insubricum s. l.;"Schlechtwüchsiger Buchenwald mit Mehlbeere und Hasel im Nebenbestand. Dazu Hopfenbuche; Feldahorn; Mannaesche; Eichen; Kastanie und Stechpalme. 
";12;20;20;18;;"Sonnige; windexponierte Kreten und steile; konvexe Hänge mit Austrockungstendenz
";"Krautig und gebüschreich nur bei genügenden Lichtverhältnissen; ansonsten eher artenarme Krautschichten. Buchen grobastig.
";"Mull; stellenweise Moder; Kalkmull; teilweise trockene Ausprägung";"Rendzina; Gesteinsrohboden
";"Skelettgehalt hoch bis äusserst hoch; Gründigkeit flach bis tief; durchlässig; keine Vernässung
";9;1;;;;0;1;2;0;1;0;2;1;2;1;0;2;0;2;2;0;0;2;0;0;0;2;14Stern
15;15;Carici-Fagetum caricetosum montanae;"Buchenwald mit Eichen und anderen wärmeliebenden Baumarten; oft knorrige Stämme. 
";15;25;28;25;;"Warme; trockene Standorte auf Kalk- oder Mischgesteins-Untergrund; oberflächlich versauert.
";"Krautig oder gras-/seggenreich. Oft strauchreich.
";Mull oder Moder (trockene Ausprägung);"Rendzina; Pararendzina; Braunerde; Parabraunerde
";"Skelettgehalt hoch; Gründigkeit mittel bis tief; durchlässig; keine Vernässung
";9;1;1;;120;0;1;2;0;1;2;2;1;2;1;2;0;0;2;0;0;0;0;0;0;0;2;15
16;16;Seslerio-Fagetum;"Schlecht wüchsiger Buchenwald; oft mit Waldföhren und Mehlbeeren; in Nordlagen auch Fichten. 
";12;18;20;18;;"Kuppen und Gratlagen auf kalkhaltigem harten Gestein; selten auch auf sehr trockenem Kalkschutt
";"Krautig. Meist dominiert das Blaugras.
";Xeromull (Xero-Kalkmull) und Xero-Moder;"Rendzina; Pararendzina
";"Skelettgehalt sehr hoch; Gründigkeit tief; biologische Aktivität mittel; Durchlässigkeit normal; keine Vernässung
";9;1;1;;90;0;1;1;0;1;2;1;1;1;1;2;1;2;1;2;0;0;0;0;0;0;2;16
16.1;16*   ;Seslerio-Fagetum (insubrische Ausbildung);"Schlecht wüchsiger; lockerer Buchenwald; oft mit Mehlbeeren

";6;10;0;15;;"Trockene Steilhänge; Kuppen und Gratlagen auf kalkhaltigem harten Gestein; meistens kleinflächig
";"Krautig. Meist dominiert das Blaugras und Erika
";(Xero-)Moder;"Rendzina
";"Skelettgehalt sehr hoch; Gründigkeit tief; biologische Aktivität mittel; Durchlässigkeit mittel bis hoch; keine Vernässung
";1;1;9;;;9;1;0;0;2;0;1;1;1;2;0;2;0;2;1;0;2;2;0;0;0;2;16Stern
17;17;Taxo-Fagetum / Seslerio-Fagetum calamagrostietosum variae;"Steilhang-Buchenwald; oft mit Eiben; Tannen und wärmeliebenden Baumarten. 
";15;25;28;25;;"Steilhänge; meist Mergel.
";"Krautig oder gras-/seggenreich.
";"Mull; teils erodiert; stellenweise Kalkmull";"Rendzina;; Pararendzina; Braunerde
";"Wechselfeucht; Skelettgehalt mittel; Gründigkeit tief; durchlässig; Schwach pseudovergleyt bis keine Vernässung 
";9;1;1;;45;0;1;1;0;0;0;1;1;2;2;2;2;2;2;2;0;1;1;0;0;0;1;17
18;18;Festuco-Abieti-Fagetum;"Buche und Tanne dominieren; dazu Fichte; stellenweise Bergahorn; Vogelbeere; Schlussgrad normal bis locker; Einzelbäume und Kleinkollektive
";30;40;45;35;;"Oberboden ohne Basen; oft auf Molasse; Moräne; Flysch; meistens Hanglagen
";"Wenig Bodenvegetation; Waldschwingel
";"Mull; stellenweise Moder";"Braunerde; Parabraunerde; stellenweise vernässt
";"Skelettgehalt mittel; Gründigkeit sehr tief; Durchlässigkeit mittel; schwach pseudovergleyt bis keine Vernässung
";0;9;1;80;;1;2;1;2;2;2;2;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;18
18.1;18*   ;Adenostyle glabrae-Abieti-Fagetum caricetosum albae;"Buche und Tanne dominieren; dazu Fichte; Bergahorn; Esche; Vogelbeere und Mehlbeere. Die Lärche ist im Mittelland und Jura wenig geeignet; in den kontinentaler geprägten Gebieten (2a und angerenzend) gedeiht sie gut.  Schlussgrad locker bis räumig; Einzelbäume; Kleinkollektive; auch Rotten möglich
";20;30;32;25;;"Basenreiche Unterlage (v. a. Kalke); flachgründig; oft in felsigen; steilen Lagen; trocken
";"Weisssegge oder andere Trockenheits-/Basenzeiger und Kahler Alpendost
";"Mull (Kalkmull); Moder (Kalkmoder); auch trockene Ausprägungen möglich";"Rendzina; Pararendzina; Gesteinsrohboden. 
";"Skelettgehalt sehr hoch; Gründigkeit sehr tief; durchlässig; keine Vernässung
";9;1;1;;50;0;1;2;0;1;2;2;1;1;1;2;2;2;2;2;2;2;2;0;0;0;2;18Stern
18.00007;18M   ;Adenostyle glabrae-Abieti-Fagetum typicum;"Buche und Tanne dominieren; dazu Bergahorn; Fichte; Bergulme; Esche; Vogelbeere; Schlussgrad normal bis locker; Einzelbäume und Kleinkollektive
";30;40;45;35;;"Basenreiche Unterlage (v. a. Kalke); meistens Hanglagen; oft steil
";"Kahler Alpendost und Bingelkraut
";"Mull; stellenweise Moder; örtlich Kalkmull; Kalkmoder";"Rendzina; Pararendzina; Regosol; Braunerde; Parabraunerde; stellenweise vernässt
";"Skelettgehalt sehr hoch; Gründigkeit sehr tief; Durchlässigkeit mittel bis gering. schwach pseudovergleyt bis keine Vernässung.
";9;1;1;;90;0;1;1;2;0;2;1;2;0;2;2;2;0;1;2;0;0;2;0;0;0;0;18M
18.015;18v   ;"Adenostylo glabrae Abieti-Fagetum calamagrostietosumvariae; Ausbildung mit Carex ferruginea";"Buche dominiert; dazu Tanne; Fichte; Bergahorn; Esche; Vogelbeere; Mehlbeere. Schlussgrad locker bis aufgelöst; teils niederliegende Baumformen. Einzelbäume; Kleinkollektive; auch Rotten möglich
";10;20;20;15;;"Wechselfeuchte; kühle; basenreiche; oft rutschige Standorte; meistens Steilhänge; oft durch Schneebewegungen beeinflusst
";"Grasig. Viel Rostsegge; Buntreitgras
";"Mull; Moder; teils erodiert; stellenweise Kalkmull";"Rendzina; Pararendzina; Gesteinsrohboden. Stellenweise verbraunt; vernässt.
";"Skelettgehalt mittel bis hoch; Gründigkeit mittel; Durchlässigkeit mittel bis gering. pseudovergleyt bis keine Vernässung.
";9;1;;;;0;1;1;2;0;0;1;1;2;1;0;1;2;2;2;1;1;1;0;0;0;1;18v
18.014;18w   ;Adenostylo glabrae Abieti-Fagetum calamagrostietosumvariae;"Buche und Tanne dominieren; dazu Fichte; Bergahorn; Esche; Mehlbeere; Vogelbeere. Schlussgrad locker bis aufgelöst; Einzelbäume;
Kleinkollektive; auch Rotten möglich
";15;25;28;23;;"Wechselfeuchte; basenreiche; oft rutschige Standorte; meistens Steilhänge
";"Grasig. Buntreitgras; Schlaffe Segge
";"Mull; Moder; teils erodiert; stellenweise Kalkmull; Kalkmoder";"Rendzina; Pararendzina; Braunerde; Parabraunerde; stellenweise vernässt
";"Skelettgehalt hoch; Gründigkeit tief bis sehr tief; Durchlässigkeit mittel bis gering; schwach pseudovergleyt bis keine Vernässung
";9;1;1;;100;0;1;1;2;0;0;1;2;2;1;0;2;2;2;2;2;1;1;0;0;0;1;18w
19;19;Luzulo-Abieti-Fagetum typicum;"Buche und Tanne dominieren; dazu Fichte und Vogelbeere.
Schlussgrad normal bis locker; Einzelbäume; Kleinkollektive
";25;35;40;35;;"Auf saurer Unterlage (Hang und Kuppenlage) oder auf versauerten Kreten
";"Oft spärliche Krautschicht. Wald- oder Schneesimse; Heidelbeere
";"Moder; stellenweise Mull";"Braunerde; Regosol; Parabraunerde; stellenweise vernässt
";"Skeletgehalt mittel bis sehr hoch; Gründigkeit sehr tief; Durchlässigkeit hoch bis gering; schwach pseudovergleyt bis keine Vernässung
";0;0;9;;50;1;2;2;0;1;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;19
19.00008;19P   ;Luzulo-Fagetum petasitetosum (p.p. Streptopto-Fagetum s.l.);"Buche und Tanne dominieren; dazu Bergahorn; Bergulme; Fichte; Esche; Vogelbeere. In der Region 5a mit Fichtenvorposten sind evt. vereinzelt Fichten vorhanden; in der Region 5b fehlt die Fichte.
Schlussgrad normal bis locker. Einzelbäume und Kleinkollektive Umfasst auch den Knotenfuss-Buchenwald (E+K 5)
";30;40;42;35;;"Oberboden neutral; frisch bis feucht; meistens Hangfusslage; Tobeleinhänge und Runsen. Saure Unterlage (Silikat); Gesteine und/oder Wasser sichern die Basenzufuhr; kühle Hanglagen
";"Farnreich; Grauer Alpendost; Weisse Pestwurz
";Mull;"Braunerde; stellenweise Parabraunerde; Rendzina; Regosol; alle auch zeitweise vernässt möglich. Nassböden beeinflusst Hangwasser; vernässte Braunerde oder Parabraunerde.
";"Skelettgehalt gering bis mittel; Gründigkeit mittel bis tief; Durchlässigkeit mittel bis gering; Vernässung keine bis leicht pseudovergleyt oder grundnass
";2;2;2;;;1;2;2;1;0;0;2;2;0;2;0;2;2;1;2;2;2;2;2;2;1;1;19P
19.001;19a   ;Luzulo-Abieti-Fagetum calamagrostietosum arundinaceae;"Weisstannenreiche Buchenbestände; meistens mit Fichte. Lärche; Birke; Bergahorn; Vogelbeere als Pionierbaumarten In der Region 5a mit Fichtenvorposten sind evt. vereinzelt Fichten vorhanden. 
Oft Schlusswaldgesellschaft von mesischen Formen von 3 (Schnesimse-Buchenwald) und von 4 (Farnreicher Schneesimsen-Buchenwald)
";25;32;37;32;;"Saure Unterlage und versauerten Moränen. Der Oberboden ist teilweise stark ausgelaugt und trocknet zeitweise aus.

";"Wenig üppige Krautschicht mit Schneesimse und kaum mesophilen Krautschicht-Arten. Wald-Reitgras; Draht-Schmiele und gelegentlich Vaccinien kommen an beschatteten Freistellen vor. 
";Moder;"Podsol; stellenweise podsolierte Braunerde; Humuspodsol; Braunpodsol
";"Skelettgehalt gering bis hoch; Gründigkeit tief bis sehr tief; Durchlässigkeit hoch bis sehr hoch; keine Vernässung
";0;0;2;;;1;0;1;2;1;2;1;1;2;1;0;2;0;1;2;0;0;2;2;2;0;0;19a
19.007;19f   ;"Luzulo-Abieti-Fagetum; Ausbildung auf Pseudogley";"Tanne dominiert; dazu Fichte; Buche; Vogelbeere. Schlussgrad normal bis locker. Einzelbäume; Kleinkollektive
";25;35;38;28;;"Verdichtete; sauere Unterlage (z. B. Molasse; Flysch; Moräne; Kieselkalk). Oft flachere Hanglagen.
";"Farnreich. Waldsimse; Heidelbeere; Waldschlüsselblume;  Waldgerste; Rippenfarn; Weisse Pestwurz
";"Moder; stellenweise Mull. Teilweise feuchte Ausprägung.";"Vernässte Braunerde; Nassböden beeinflusst durch Stauwasser oder Grund/Hangwasser
";"Skelettgehalt gering bis mittel; Gründigkeit sehr tief; Durchlässigkeit mittel bis gering; Pseudogley bis schwach pseudovergleyt; sehr stark bis schwach grundnass.
";0;0;1;70;;1;2;1;2;0;2;0;0;0;0;0;0;0;0;0;0;1;2;0;2;0;0;19f
19.01;19m   ;"Luzulo-Abieti-Fagetum typicum; Südalpen-Ausbildung  Synonim:  Laburno-Abieti-Fagetum.";"Buche und Tanne dominieren; dazu Fichte und Lärche; als Pionierbaumarten Bergahorn; Vogelbeere; Alpengoldregen. In der Region 5a mit Fichtenvorposten sind evt. vereinzelt Fichten vorhanden. Schlussgrad normal. Einzelbäume und Kleinkollektive. 
Oft Schlusswaldgesellschaft von basenreicheren Formen von 4 (Farnreicher Schneesimsen-Buchenwald)
";30;35;40;35;;"Saure Unterlage (Silikat) mit Basenzufuhr oder Gesteinen und Moränen die im Unterboden basenreicher sind; kühle Hanglagen
";"Wenig üppige Krautschicht mit wenig Schneesimse v.a. an den beschatteten Partien; vereinzelten mesophilen Krautschicht-Arten beleben die Lücken und die Runsen wo gelegentlich als Pionier der Alpengoldregen auftritt.
";Moder;"Stellenweise podsolierte oder oberflächlich versauerte Braunerde; teilweise kolluviale leicht verbraunten Roh-Böden.
";"Skeletgehalt mittel bis sehr hoch; Gründigkeit tief bis sehr tief; durchlässig; keine Vernässung
";2;2;2;;;1;2;1;1;0;0;1;0;2;1;0;2;0;1;2;0;2;2;2;2;2;2;19m
1.009;1h    ;"Luzulo-Abieti-Fagetum; artenarme Ausbildung";"Buche und Tanne dominieren; dazu Fichte; Föhre; Vogelbeere; Schlussgrad normal bis locker. Einzelbäume; Kleinkollektive; selten Rotten
";20;25;30;25;;"Kuppen und flache Hügelrücken über kalkarmem oder tiefgründig ausgewaschenem Muttergestein
";"Heidelbeere; säurezeigende Moose
";"Moder; stellenweise Rohhumus";"Braunerde; Parabraunerde; teilweise podsoliert
";"Skelettgehalt mittel bis hoch; Gründigkeit mittel; Durchlässigkeit mittel bis hoch
";0;0;9;130;;1;2;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1h
2;2;Luzulo-Fagetum leucobryetosum;"Schlecht wüchsiger Buchenwald; oft reine Buchenbestände; aber häufig auch Traubeneichen und/oder Waldföhren beigemischt. 
";15;25;28;25;;"Kuppen und flache Hügelrücken und Hänge über kalkarmem oder tiefgründig ausgewaschenem Muttergestein. Verlustlagen. 
";"Sträucher oft fehlend; wo Laubstreu weggeweht wird oft ausgeprägte Moospolster.
";Moder;"Stark saure Braunerde; teilweise podsoliert; Parabraunerde
";"Gründigkeit tief; biologische Aktivität eingeschränkt; Durchlässigkeit mittel bis hoch. Keine Vernässung bis schwach pseudovergleyt.
";0;0;2;;;1;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
