NAISTYP_SORT; NAISTYP_C; NAISTYP_HAUPTVAR; NAISTYP_VAR; NAISTYP_NWLD;NAISTYP_NWLD_FR; NAISTYP_HDOM_MIN; NAISTYP_HDOM_MAX; NAISTYP_HMAX_NAD; NAISTYP_HMAX_LAU;NAISTYP_BEM4; NAISTYP_STAO; NAISTYP_STAO_FR; NAISTYP_VASP; NAISTYP_VASP_FR; NAISTYP_HUMF; NAISTYP_ENT;NAISTYP_EIG; NAISTYP_EIG_FR; NTYP_KG_FEIN; NTYP_KG_GESTEIN; NAISTYP_KG_V; NAISTYP_KG_T_MIN; NAISTYP_KG_T_MAX; NTYP_AM_S; NTYP_AM_B; NTYP_RT_MITTELH; NTYP_RT_MULDE; NTYP_RT_KUPPE; NTYP_RT_PLATEAU; NTYP_RT_STEILH; NTYP_FELS; NTYP_BL_FELS_ST; NTYP_BL_FELS_WE; NTYP_BL_KARREN; NTYP_BL_SCHUTT_M; NTYP_BL_SCHUTT_S; NTYP_BL_SCHUTT_X; NTYP_STEINSCHLAG; NTYP_LAWINEN; NTYP_RUTSCHUNG; NTYP_EROSION; NTYP_WASS_BACH; NTYP_WASS_KLEIN; NTYP_WASS_QUELL; NTYP_WECHSELF; NAISTYP_GFX; ART_LNK_HG_NATW; ART_LNK_HG_HOE; ART_LNK_HG_STD; ART_LNK_HG_VEGA; ART_LNK_HG_MERKM; ART_LNK_HG_BS; ART_LNK_HG_SS; ART_LNK_HG_KS; ART_LNK_HG_MS; NAISTYP_OEG_HAWA; NAISTYP_OEB_HAWA; NAISTYP_OEG_SOWA; NAISTYP_OEB_SOWA; NAISTYP_OEG_WEFE; NAISTYP_OEB_WEFE; NAISTYP_OEG_AUE; NAISTYP_OEG_PIO; NAISTYP_ANFE; NAISTYP_OEG_GEB
6,000003;6Fe;6;U;"Wüchsiger Buchenwald, oft reine Buchenbestände, aber häufig auch Traubeneichen beigemischt. 
";Hêtraie fertile, peuplements de hêtres souvent purs, mais souvent aussi en mélange avec le chêne sessile. ;25;35;38;35;;"Kuppen, flache Hügelrücken und Hänge über kalkarmem Muttergestein, mit anstehendem Fels. 
";Élévations de terrain, plateaux au sommet des collines et pentes sur roche-mère pauvre en calcaire, avec roches affleurantes. ;"Krautschicht oft artenarm und lückig. Oft moosige Stellen.
";Strate herbacée souvent pauvre en espèces et lacunaire. Souvent zones muscinales. ;;;;;0;0;1;60;;1;2;2;0;1;2;2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;6Fe;Y;Y;N;Y;N;Y;Y;Y;Y;1;;0;;0;;0;0;1;0
7,00012;7S;;H;"Mischwald mit Buche, Bergahorn und Esche, dazu Stieleiche, Kirschbaum. Gerade Stämme.
";Forêt mélangée avec hêtre, érable sycomore et frêne, accompagnés du chêne pédonculé et du merisier. Troncs rectilignes. ;30;40;43;40;;"Hangfuss- und Tallagen
";Pieds de versants et fonds de vallée.;"Krautreich.
";Herbeux. ;Mull;"Braunerde leicht vernässt oder Parabraunerde leicht vernässt
";"Gründigkeit sehr tief, biologische Aktivität hoch,Wurzelraum für Buchen noch genügend durchlüftet, Durchlässigkeit mittel bis gering, Vernässung: sehr schwach bis stark pseudovergleyt oder grundnass
";Sol très profond, activité biologique intense, espace racinaire suffisamment aéré pour le hêtre, perméabilité moyenne à faible, engorgement : très peu à très fortement pseudogleyifié ou influencé par la nappe phréatique.;0;9;1;65;;1;2;2;1;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;7S;;;;;;;;;;1;;0;;0;;0;0;0;0
7,000123;7SFe;7S;U;"Mischwald mit Buche, Bergahorn und Esche, dazu Stieleiche, Kirschbaum. Gerade Stämme.
";Forêt mélangée avec hêtre, érable sycomore et frêne, accompagnés du chêne pédonculé et du merisier. Troncs rectilignes. ;30;40;43;40;;"Hangfuss- und Tallagen
";Pieds de versants et fonds de vallée.;"Krautreich.
";Herbeux. ;;;;;0;9;1;65;;1;2;2;1;0;2;2;1;0;0;2;0;0;0;0;0;2;0;0;2;2;0;7SFe;Y;Y;N;Y;N;Y;Y;Y;Y;1;;0;;0;;0;0;1;0
7,001;7a;;H;"Buchenwald in dem fast alle Baumarten gut wachsen, doch ist die Konkurrenz der Buche stark, gerade Stämme. 
";Hêtraie dans laquelle presque toutes les essences poussent bien, mais subissent une forte concurrence du hêtre, troncs rectilignes. ;30;40;43;40;;"Ebenen und Hänge (ausser Steilhänge).
";Plateaux et versants (à l’exception des pentes raides).;"Krautreich bis lückig. Unter Fichten oft dichte Brombeerdecke.
";Herbeux à lacuneux. Couvert de ronces souvent dense sous les épicéas. ;Mull;"Braunerde, Parabraunerde
";"Skelettgehalt gering bis hoch, Gründigkeit sehr tief, Säuregrad schwach sauer bis sauer, biologische Aktivität hoch. Durchlässig. Vernässung keine bis sehr schwach pseudovergleyt.
";Pierrosité faible à élevée, sol très profond, pH faiblement acide à acide, activité biologique intense. Perméable.Non hydromorphe à très peu pseudogleyifié. ;0;9;1;60;;1;2;1;2;2;1;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;7a;;;;;;;;;;1;;0;;0;;0;0;0;0
7,001003;7aFe;7a;U;"Buchenwald in dem fast alle Baumarten gut wachsen, doch ist die Konkurrenz der Buche stark, gerade Stämme. 
";Hêtraie dans laquelle presque toutes les essences poussent bien, mais subissent une forte concurrence du hêtre, troncs rectilignes. ;30;40;43;40;;"Ebenen und Hänge (ausser Steilhänge), mit anstehendem Fels.
";Plateaux et versants (à l’exception des pentes raides), avec roches affleurantes.;"Krautreich bis lückig. Unter Fichten oft dichte Brombeerdecke.
";Herbeux à lacuneux. Couvert de ronces souvent dense sous les épicéas. ;;;;;0;9;1;60;;1;2;1;2;2;1;2;1;0;0;2;0;0;0;2;0;0;0;0;0;0;0;7aFe;Y;Y;N;Y;N;Y;Y;Y;Y;1;;0;;0;;0;0;1;0
7,002;7b;;;;Hêtraie fertile avec quelques érables sycomores, frênes, chênes pédonculés et charmes. ;30;40;43;40;;"In Ebenen und schwach ausgebildeten Muldenlagen. 
";Plateaux et cuvettes faiblement développées. ;"Brombeere, Zittergras-Segge oder Adlerfarn dominieren oft. 
";Ronces, laiche fausse brize ou fougère aigle dominent souvent. ;Mull, Moder;"Braunerde oder Parabraunerde vernässt.
";"Tief- bis äusserst tiefgründig. Hoher bis sehr geringer Skelettgehalt. Durchlssigkeit mittel bis gering. Stark bis sehr schwach pesudovergleyt. 
";Sol profond à extrêmement profond. Pierrosité élevée à très faible. Perméabilité moyenne à faible. Tendance au pseudogley forte à très faible.;0;0;9;;;1;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7b;;;;;;;;;;1;;0;;0;;0;0;0;0
7,1;7*;;H;"Mischwald mit Buche, Tanne, Fichte, seltener Waldföhre und Stieleiche, nur vereinzelt andere Laubbäume. 
";"Forêt mélangée avec hêtre, sapin, épicéa et, plus rarement, pin sylvestre et chêne pédonculé ; uniquement quelques autres feuillus. ";25;35;38;33;;"Ebenen und leicht geneigte Hänge. Vor allem auf Rissmoränen und verlehmten Rissschottern sowie sauren Moränen. 
";Plateaux et légères pentes. Surtout sur les moraines et les fissures argileuses du Riss ainsi que sur les moraines acides. ;"Oft lückig, mit ausgedehnter Moosdecke. 
";Souvent lacuneux, avec une couche de mousses étendue. ;Mullartiger Moder;"Vernässt Parabraunerde oder Braunerde, sauer, wechselfeucht und im Unterboden staunass.
";"Gründigkeit sehr tief, biologische Aktivität tief, Durchlässigkeit mittel bis gering, schwach bis stark pseudovergleyt
";Sol très profond, faible activité biologique, perméabilité moyenne à faible, tendance au pseudogley faible à forte.;0;0;1;100;;1;2;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7Stern;;;;;;;;;;1;;0;;0;;0;0;0;0
8,00012;8S;;H;"Hochstämmiger Mischwald mit Buche, beigemischter Tanne, Bergahorn und Esche, kaum Eiche, Hagebuche, Kirschbaum in der Baumschicht, gerade Stämme. 
";"Forêt mélangée à hautes tiges avec hêtre, en mélange avec le sapin, l’érable sycomore et le frêne ; presque pas de chênes, de charmes, ni de merisiers dans la strate arborescente, troncs rectilignes. ";30;40;45;40;;"Hangfuss- und Tallagen, in tiefen Lagen Schattenhänge.
";Vallées et pieds de versants, versants ombragés dans les stations basses. ;"Krautreich. Oft viele Farne.
";Herbeux. Fougères souvent abondantes. ;Mull;"Braunerde vernässt oder Parabraunerde vernässt
";"Gründigkeit sehr tief, biologische Aktivität hoch, Wurzelraum für Buchen noch genügend durchlüftet, Durchlässigkeit mittel bis gering, sehr schwach pseudovergleyt bis pseudovergleyt oder grundnass. 
";Sol très profond, activité biologique intense, espace racinaire suffisamment aéré pour le hêtre, perméabilité moyenne à faible, très peu pseudogleyifié à pseudogleyifié ou influencé par la nappe phréatique.;0;9;1;100;;1;2;2;1;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;8S;;;;;;;;;;1;;0;;0;;0;0;0;0
8,000123;8SFe;8S;U;"Hochstämmiger Mischwald mit Buche, beigemischter Tanne, Bergahorn und Esche, kaum Eiche, Hagebuche, Kirschbaum in der Baumschicht, gerade Stämme. 
";"Forêt mélangée à hautes tiges avec hêtre, en mélange avec le sapin, l’érable sycomore et le frêne ; presque pas de chênes, de charmes, ni de merisiers dans la strate arborescente, troncs rectilignes. ";30;40;45;40;;"Hangfuss- und Tallagen, in tiefen Lagen Schattenhänge, mit anstehendem Fels. 
";Vallées et pieds de versants, versants ombragés dans les stations basses, avec roches affleurantes.;"Krautreich. Oft viele Farne.
";Herbeux. Fougères souvent abondantes. ;;;;;0;9;1;100;;1;2;2;1;0;2;2;1;0;0;2;0;0;0;0;0;2;0;0;2;2;0;8SFe;Y;Y;N;Y;N;Y;Y;Y;Y;1;;0;;0;;0;0;1;0
8,001;8a;;H;"Hochstämmiger Buchenwald mit beigemischter Tanne, dazu Bergahorn und Esche, kaum Eiche, Hagebuche, Kirschbaum in der Baumschicht, gerade Stämme.
";"Hêtraie à hautes tiges en mélange avec le sapin, accompagné de l’érable sycomore et du frêne ; presque pas de chênes, charmes, ni de merisiers dans la strate arborescente, troncs rectilignes. ";30;40;45;40;;"Ebenen und Hänge (ausser Steilhänge), in tiefen Lagen Schattenhänge.
";Plateaux et versants (à l’exception des pentes raides), versants ombragés dans les stations basses.  ;"Krautreich bis lückig. Oft viele Farne. Unter Fichten oft dichte Brombeerdecke.
";Herbeux à lacuneux. Fougères souvent abondantes. Couvert de ronces souvent dense sous les épicéas. ;Mull, manchmal moderartiger Mull;"Braunerde, Parabraunerde
";"Skelettgehalt gering bis hoch, Gründigkeit sehr tief, Säuregrad schwach sauer bis sauer, biologische Aktivität hoch, Durchlässigkeit mittel bis gering. Keine Vernässung oder sehr schwach pseudovergleyt.
";Pierrosité faible à élevée, sol très profond, degré d’acidité peu acide à acide, activité biologique intense, perméabilité moyenne à faible. Non hydromorphe ou très peu pseudogleyifié. ;0;9;1;60;;1;2;1;2;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8a;;;;;;;;;;1;;0;;0;;0;0;0;0
8,001003;8aFe;8a;U;"Hochstämmiger Buchenwald mit beigemischter Tanne, dazu Bergahorn und Esche, kaum Eiche, Hagebuche, Kirschbaum in der Baumschicht, gerade Stämme.
";"Hêtraie à hautes tiges en mélange avec le sapin, accompagné de l’érable sycomore et du frêne ; presque pas de chênes, de charmes, ni de merisiers dans la strate arborescente, troncs rectilignes. ";30;40;45;40;;"Ebenen und Hänge (ausser Steilhänge), in tiefen Lagen Schattenhänge, mit anstehendem Fels.
";Plateaux et versants (à l’exception des pentes raides), versants ombragés dans les stations basses, avec roches affleurantes. ;"Krautreich bis lückig. Oft viele Farne. Unter Fichten oft dichte Brombeerdecke.
";Herbeux à lacuneux. Fougères souvent abondantes. Couvert de ronces souvent dense sous les épicéas. ;;;;;0;9;1;60;;1;2;1;2;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8aFe;Y;Y;N;Y;Y;Y;Y;Y;Y;1;;0;;0;;0;0;1;0
8,002;8b;;;;Hêtraie fertile avec une proportion élevée de sapins et d’épicéas ainsi qu’une strate buissonnante clairsemée. ;30;40;45;40;;"In Ebenen und schwach ausgebildeten Muldenlagen.
";Plateaux et cuvettes faiblement développées. ;"Brombeere, Adlerfarn oder andere Farne dominnieren oft. 
";Ronces, fougère aigle ou autre fougère dominent souvent.;Mull, Moder;"Braunerde oder Parabraunerde vernässt, stellenweise podsoliert. 
";"Tief- bis äusserst tiefgründig. Hoher bis sehr geringer Skelettgehalt. Durchlssigkeit mittel bis gering. Stark bis sehr schwach pesudovergleyt.
";Sol profond à extrêmement profond. Pierrosité élevée à très faible. Perméabilité moyenne à faible. Tendance au pseudogley forte à très faible.;0;0;9;;;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8b;;;;;;;;;;1;;0;;0;;0;0;0;0
8,004;8d;;H;"Wüchsiger Buchenwald, oft reine Buchenbestände, aber häufig auch Tanne beigemischt. 
";Hêtraie fertile, peuplements de hêtres souvent purs, mais souvent aussi en mélange avec le sapin. ;30;38;43;38;;"Kuppen, flache Hügelrücken und Hänge über kalkarmem oder tiefgründig ausgewaschenem Muttergestein.
";Élévations de terrain, plateaux au sommet des collines et pentes sur roche-mère pauvre en calcaire ou lessivée en profondeur. ;"Bodenvegetation häufig artenarm. Oft moosige Stellen.
";Végétation basse souvent pauvre en espèces. Souvent zones muscinales. ;Moder;"Parabraunerde und stark saure Braunerde, teilweise vernässt
";"Gründigkeit sehr tief, biologische Aktivität etwas eingeschränkt, Durchlässigkeit gering bis hoch, auf Parabraunerden in tieferen Horizonten oft etwas eingeschränkt. Keine Vernässung bis schwach pseudovergleyt
";Sol très profond, activité biologique quelque peu limitée, perméabilité faible à élevée, souvent quelque peu limitée sur les sols bruns lessivés dans les horizons inférieurs. Non hydromorphe à peu pseudogleyifié. ;0;0;1;70;;1;2;1;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8d;;;;;;;;;;1;;0;;0;;0;0;0;0
