STO_Nr;STO_DEU;STO_LAT;EIGNUNG;WB_VERJ_ENT;WB_PFL;BESCHREIBUNG;HOEHENVERBREITUNG;VEGETATION;VORWALDBAUMARTEN;GESGR_Nr;VERDRISK;PRIORITAET
7*;Waldmeister-Buchenwald mit Rippenfarn;Galio-Fagetum blechnetosum;"PR: Wuchskraft mässig, wenig vielseitig; sehr gute Qualität von Fi und Ta.
NG: Ausgezeichnete Schutzwirkung, da sehr stabile Standorte.
NS: Wenig Besonderheiten; oft schöne Heidelbeer- und Moosbestände.
";"N: Hauptbaumarten unter Schirm und im Lichtschacht. Verjüngung fördern durch schwache Lichtungshiebe.
Einzel- bis Gruppenplenterung.
U: Überführung in Plenterstruktur ist zentral: Früh punktuelle Vorverjüngung auf ganzer Fläche einleiten. Einzelbäume mit grösster Lebenserwartung stehen lassen Variante. 
Variante: SEi-Flächen rein.
";"N: Kann sich auf Schlagpflege be-schränken.
Mischungsform: Einzeln bis truppweise.
U: Punktuelle Eingriffe zur Förderung der Plenterstruktur.

";"Recht wüchsige Buchenmischwälder auf flachen Hängen, Plateaus und Kuppen. Deutlich nährstoffärmer und saurer als 7a, daher mit deutlichem Nadelholzanteil; moos- und heidelbeerreicher Unterwuchs, deutliche Moderauflage. Oft dominante Brombeere.
";"submontan; 400-700m";"C: Heidelbeere, Gabelzahnmoos, Wald-Frauenhaar, Rippenfarn (wenig häufig), Tamariskenmoos, Wald-Hainsimse.

";HBi, VBe, Wei, ZPa;6, 7;3;
8a;Typischer Waldhirsen-Buchenwald;Milio-Fagetum typicum;"PR: Produktiver Standort mit grossem Spielraum in der Baumartenwahl.
NG: Erhöhte Gefährdung, wenn in Steilhängen gelegen.
NS: Besonderheiten selten.



";"N: Bu unter Schirm; Übrige in Lücken.
Mit Lichtungshieben wird v.a. Bu gefördert, mit flächigen Verjüngungshieben bis Gruppengrösse die Lichtbaumarten; Ausrichtung der Hiebsränder zur Förderung der Baumartenvielfalt variieren.
Femelschlag.
U: Vorhandene Ansamung begünstigen!
Wenn Bu vorhanden, dann kleinflächig auflichten zur Vorverjüngung, Ansamung in kleinen Säumen. Ohne Bu grösserflächig öffnen zur Ansamung von Es und BAh.
Verjüngungs-Flächen mit BAh und Es spätestens Ende Dickung kräftig erweitern (ca. 1 Baumlänge), Bu erlaubt langsameres Vorgehen.
Bei Wildverbiss oder schlechtem Wuchs: Es und BAh auf Stock setzen.
";"N: In Edellaubholzverjüngungen frühe Mischungsregulierung (ab Ende Jungwuchs). Grosse Kronen ausbilden. Ende Durchforstung im BH 2.
Mischungsform: Es und BAh trupp- bis gruppenweise, Fi truppweise, Ta einzeln bis truppweise.
";"Wüchsige Buchenmischwälder in flachen bis recht steilen Lagen aller Expositionen. Krautschicht spärlich bis gut ausgebildet. 
Mittlere Standorte mit mittel- bis tiefgründigem, sandig-schluffig oder sandig-lehmigem Boden.";"untermontan; 600-1000m";"D: Weiblicher Waldfarn 
E: Waldmeister, Wald-Veilchen, Echter Wurmfarn
F: Waldhirse, Wald-Segge, Berg-Goldnessel
L: Gelappter Schildfarn
";−;8;2;
8b;Waldhirsen-Buchenwald mit Lockerähriger Segge;Milio-Fagetum caricetosum remotae;"PR: Recht produktiver Standort, aber wenig vielseitig für Wertträger.
NG: Gute Schutzwirkung, da meist stabile Standorte; bei schlechter Bestockung anfällig.
NS: Ohne Besonderheiten.
";"N: Bu und Ta unter Schirm; Edellaubhölzer in Lücken, wenn Auflage gering.
Mit Lichtungshieben Bu-Verjüngung fördern; Lichtbaumarten auf günstigen Kleinstandorten.
Gruppen-Plenterung oder kleinflächiger Femelschlag.
U: Vorhandenes Edellaubholz konsequent fördern. Auflichtung für Vorverjüngung von Bu, Ta und Fi. 
Wenn Bu grossflächig fehlt: nesterweise unterpflanzen.
Ab Anfang Dickung weiteres starkes Auflichten; Räumung des Altbestandes Ende Dickung.
";"N: Mischungsregulierung ab Dickung, Durchforstung bis BH 2. 
Mischungsform: Nadelholz einzeln bis truppweise, Laubholz einzeln bis gruppenweise.
Bei schluffreichen Böden grosse Verdichtungsgefahr durch Befahren; Konzentration auf Rückegassen.
U: Mischungsregulierung verbunden mit Schlagpflege nach Räumung des Altbestandes.
";"Recht wüchsige Buchenmischwälder auf flachen Rücken, Plateaus und mässig steilen Hängen. 
Feuchter und basenärmer als 8a, daher mit konkurrenzstarker Ta; zeitweise vernässter, oberflächlich versauerter Boden. Oft Brombeere dominant.";"untermontan; 500-900m";"C: Breiter Wurmfarn, Heidelbeere spärlich, 
Tamariskenmoos
D: Weiblicher Waldfarn
K: Wald-Schachtelhalm, Wald-Gilbweiderich, Abgerücktährige Segge 
";VBe, HBi, ZPa, Wei;8;3;
8c;Waldhirsen-Buchenwald mit Breitem Wurmfarn;Milio-Fagetum dryopterietosum dilatatae;"PR: Ziemlich produktiv, mässig vielseitig.
NG: Ohne Besonderheiten.
NS: Ohne Besonderheiten
";"N: Hauptbaumarten unter Schirm; Übrige in Lücken. Verjüngung durch Lichtungshiebe einleiten.
Grosser Spielraum bezüglich Verjüngungszeitraum, für Lichtbaumarten kurz.
Femelschlag. Mit Ta und Fi kleinflächig; auch Plenterung empfohlen.
U: Vorhandenes Edellaubholz konsequent fördern; Auflichtung für Vorverjüngung von Bu, Ta und Fi. Wenn Bu grossflächig fehlt: nesterweise unterpflanzen. Ab Anfang Dickung weiteres starkes Auflichten; Räumung des Altbestandes Ende Dickung.
";"N: Mischungsregulierung ab Dickung, Durchforstung bis BH 2.
Mischungsform: Fi und Ta einzeln bis truppweise.
U: Mischungsregulierung mit Schlagpflege nach Altbestandräumung.
";"Recht wüchsige Buchenmischwälder auf Kuppen und an Hängen aller Expositionen. Unterwuchs spärlich und artenarm. Oft Brombeere dominant.
Boden nährstoffärmer als 8a, daher höherer Nadelholzanteil und oberflächlich versauert.";"untermontan; 500-1000m";"C: Breiter Wurmfarn, Wald-Hainsimse, Tamariskenmoos
D: Weiblicher Waldfarn
";VBe, HBi, ZPa, Wie;8;2;
8d;Waldhirsen-Buchenwald mit Hainsimse;Milio-Fagetum luzuletosum;"PR: Mässig geeignet, da Zuwachs vermindert.
NG: Gute Schutzwirkung durch stabile Standorte.
NS: Wenige Besonderheiten.
";"N: Bu unter Schirm; Übrige in Lücken.
Mit kurzen Verjüngungszeiträumen werden die lichtbedürftigeren Mischbaumarten gefördert.
Femelschlag.
";"N: Mischungsregulierung in Dickung.
Durchforstung bis BH 1.
Mischungsform: Mischbaumarten einzeln bis truppweise. 

";"Ziemlich wüchsige Buchenmischwälder auf Kuppen sowie an Süd- und Westhängen. 
Boden sandig-schluffig, nährstoffärmer und trockener als 8a, daher mit trocken-saurem Oberboden und Säurezeigern im Unterwuchs.";"untermontan; 600-1000m";"C: Wald-Hainsimse, Heidelbeere spärlich, Rundblättriges Labkraut, Tamariskenmoos 
D: Weiblicher Waldfarn 
";HBi, VBe, Wei;8;2;
8e;Waldhirsen-Buchenwald mit Hornstrauch;Milio-Fagetum cornetosum;"PR: Wüchsiger und vielseitiger Standort.
NG: Ohne Besonderheiten.
NS: Erhöhte Bedeutung durch Kalk im Untergrund.";"N: In lichten Beständen für alle Baumarten meist problemlos. Durch starke, kleinflächige Auflichtung kann Verjüngung beschleunigt werden, v.a. für Lichtbaumarten. Räumungsschlag Ende Dickung.
Femelschlag.
U: Nach kleinflächigen Verjüngungshieben samen alle Baumarten reichlich an.";"N: Mischungsregulierung ab Dickung. Starke Durchforstung bis Ende BH 1.
Mischungsform: Bu trupp- bis gruppenweise, Übrige einzeln bis truppweise.";"Recht wüchsige Buchenmischwälder in sonnigen Hanglagen und auf Bachschottern. 
Boden trockener als 8a, ab ca. 30 cm kalkhaltig, oberflächlich austrocknend, oft skelettreich."; ;"E: Waldmeister, Wald-Veilchen
F: Waldhirse, Wald-Segge, Berg-Goldnessel
M: Bingelkraut, Wald-Zwenke, Weissdorn, Wolliger Schneeball
O: Schlaffe Segge 
P: Weiss-Segge auf schottrigem Oberboden
";−;8;1;
8f;Waldhirsen-Buchenwald mit Lungenkraut;Milio-Fagetum pulmonarietosum;"PR: Sehr wüchsiger und vielseitiger Standort.
NG: Ohne Besonderheiten.
NS: Leicht erhöhte Bedeutung durch Kalk im Untergrund.
";"N: Bu unter Schirm, Übrige in Lücken.
Bu durch kleinflächige Auflichtungen; Edellaubhölzer durch Verjüngungshiebe bis Horstgrösse.
Kurze Verjüngungszeiträume für lichtbedürftige Baumarten.
Femelschlag.
U: Oft vorhandene Ansamung von BAh und Es begünstigen durch flächige Verjüngungshiebe.
Wenn Bu vorhanden, dann kleinflächig auflichten zur Vorverjüngung, Ansamung in kleinen Säumen.
Verjüngungs-Flächen mit Edellaubholz spätestens Ende Dickung kräftig erweitern (ca. 1 Baumlänge), Bu erlaubt langsameres Vorgehen.
Bei Wildverbiss oder schlechtem Wuchs: Es + BAh auf Stock setzen.

";"N: Mischungsregulierung ab Ende Jungwuchs.
Mischungsform: Gruppen- bis horst-weise.
Häufige Durchforstung bis BH 1. Auf starke Kronenausbildung achten.
Pflege sehr lohnend!
";"Sehr wüchsige Buchenmischwälder an Hängen aller Expositionen.
Boden basen- und nährstoffreicher als 8a, ab ca. 30 cm kalkhaltig.";"untermontan; 600-1000m";"E: Echter Wurmfarn, Waldmeister, Wald-Veilchen
F: Waldhirse, Wald-Segge, Berg-Goldnessel
M: Bingelkraut, Wald-Zwenke";−;8;2;
8S;Feuchter Waldhirsen-Buchenwald;Milio-Fagetum stachyetosum sylvaticae;"PR: Sehr produktiver Standort mit sehr grossem Spielraum in der Baumartenwahl.
NG: Erhöhte Gefährdung, v.a. in Bacheinhängen.
NS: Feuchte bietet besonderen Lebensraum, wenn basenhaltig, dann noch deutlicher.";"N: Bu und Ta unter Schirm, Übrige in Lücken.
Mit Lichtungshieben werden v.a. Bu und Ta gefördert, mit flächigen Verjüngungshieben bis Gruppengrösse die Lichtbaumarten; Ausrichtung der Hiebsränder zur Förderung der Baumartenvielfalt variieren.
Femelschlag.
In schattigen Lagen bei hohem Ta-Anteil auch Plenterung empfohlen.
U: Vorhandene Ansamung begünstigen!
Wenn Bu vorhanden, dann kleinflächig auflichten zur Vorverjüngung, Ansamung in kleinen Säumen. 
Ohne Bu grösserflächig; Ansamung von Es und BAh. Auch gruppenweise Bu unterpflanzen, v.a. in Brombeeren.
Verjüngungsflächen mit BAh und Es spätestens Ende Dickung kräftig erweitern (ca. 1 Baumlänge), Bu erlaubt langsameres Vorgehen. Bu-Verjüngungen behutsam erweitern; mit Es und BAh zügig.
Bei Wildverbiss oder schlechtem Wuchs: Es und BAh auf Stock setzen.
";"N: Mischungsregulierung ab Ende Jungwuchs, Durchforstung bis BH 1.
Mischungsform: BAh und Es trupp- bis gruppenweise, Ta einzeln bis truppweise.
Pflege sehr lohnend!
";"Sehr wüchsige Buchenmischwälder in Runsen, Hangfuss- und Muldenlagen. Feuchter als 8a, daher BAh, Es und BUl mit starker Konkurrenzkraft; üppige Krautschicht.
Aktiver, nährstoffreicher, mittel- bis tiefgründiger Boden, oft leicht vergleyt. Teilweise Kalk im Untergrund. 
";"untermontan; 600-1000m";"D: Weiblicher Waldfarn 
E: Echter Wurmfarn, Waldmeister, Wald-Veilchen
F: Waldhirse, Wald-Segge, Berg-Goldnessel
H: Wald-Ziest
K: Hängende Segge, Pariser-Hexenkraut, Wald-Schachtelhalm
";−;8;3;
8*;Waldhirsen-Buchenwald mit Rippenfarn;Milio-Fagetum blechnetosum;"PR: Wuchskraft mässig, wenig vielseitig; sehr gute Qualität von Ta und Fi
NG: Ausgezeichnete Schutzwirkung, da sehr stabile Standorte.
NS: Wenig Besonderheiten; oft schöne Heidelbeer- und Moosbestände.
";"N: Hauptbaumarten unter Schirm, im Lichtschacht und Seitenlicht. Verjüngung fördern durch schwache Lich-tungshiebe und kleinflächige Eingriffe zur Schaffung von Seitenlicht und Lichtschächten.
Einzel- bis Gruppenplenterung.
U: Überführung in Plenterstruktur ist zentral: Früh punktuelle Vorverjüngung auf ganzer Fläche einleiten. Einzelbäume mit grösster Lebenserwartung stehen lassen.
";"N: Schlagpflege genügt i.d.R.
Mischungsform: einzeln bis truppweise.
U: Punktuelle Eingriffe zur Förderung der Plenterstruktur
";"Ziemlich wüchsige Buchenmischwälder mit starkem Nadelholzanteil, vorwiegend auf flachen Hängen, Plateaus und Kuppen. Deutlich nährstoffärmer und saurer als 8a; moos- und heidelbeerreicher Unterwuchs und deutliche Moderauflage. Oft Brombeere dominant.";"untermontan; 600-1000m";C: Rippenfarn (ab und zu), Breiter Wurmfarn, Heidelbeere, Gabelzahnmoos, Wald-Frauenhaar, Tamariskenmoos, Wald-Hainsimse;HBi, VBe, ZPa;8;3;
9a;Typischer Lungenkraut-Buchenwald;Pulmonario-Fagetum typicum;"PR: Recht produktiver Standort mit grossem Spektrum an Baumarten.
NG: Erhöhte Gefährdung, wenn in Bacheinhängen (im Mittelland häufig).
NS: Reichhaltig und wertvoll, da oft in wilden Tobeln und an Hängen.
";"N: Bu unter Schirm; Mischbaumarten unter lockerem Schirm und in Lücken.
Mit Lichtungshieben und langen Verjüngungszeiträumen wird v.a. Bu gefördert, mit flächigen Verjüngungshieben bis Gruppengrösse die Lichtbaumarten; Ausrichtung der Hiebsränder zur Förderung der Baumartenvielfalt variieren.
Femelschlag.
U: Vorhandene Ansamung begünstigen! Wenn Bu vorhanden, dann kleinflächig auflichten zur Vorverjüngung, Ansamung in kleinen Säumen.
";"Bei Edellaubhölzern Mischungsregulierung ab Ende Jungwuchs, bei reiner Bu ab Ende Dickung, Durchforstung bis BH 2, grosse Kronen ausbilden.
Mischungsform: Es und BAh trupp- bis gruppenweise, Ki und BUl einzeln.
";"Sehr wüchsige, edellaubreiche Hallen-Buchenwälder in bevorzugt sonnigen Hanglagen über kalkreichem Untergrund; im Gebiet meist in steiler Lage, deshalb Mischbaumarten häufig. Oft mit Bingelkraut-Teppich. 
Boden aktiv, nährstoff- und basenreich, Kalk bis in den Oberboden, teils tonhaltig und leicht vernässt.";"submontan; 500-800m";"E: Waldmeister, Wald-Veilchen, Busch-Windröschen
F: Berg-Goldnessel, Wald-Segge
M: Bingelkraut, Weissdorn, Wolliger und Gem. Schneeball, Gewöhnl. Seidelbast, Gewöhnl. Schmerwurz, Süsse Wolfsmilch
";−;"9, 10, 
11";2;
