regions;heightLevel;forestType;slope;condition;targets;tannenareal;standortsregion;relief;targetHeight
R5;ober- und untermontan;40PBl;;;25as hyp;;;;hyperinsubrisch
R5;ober- und untermontan;43S;;;43S hyp;;;;hyperinsubrisch
R5;ober- und untermontan;19a;;;3L/4L hyp;;;;hyperinsubrisch
R5;ober- und untermontan;19a;;;3L/4L hyp;;;;hyperinsubrisch
R5;ober- und untermontan;19m;;;3L/4L hyp;;;;hyperinsubrisch
R5;ober- und untermontan;47H;;;25as hyp;;;;hyperinsubrisch
R5;ober- und untermontan;3;;normal;42V hyp;;;;hyperinsubrisch
R5;ober- und untermontan;3;;tiefgründig;34a hyp;;;;hyperinsubrisch
R5;ober- und untermontan;4;;;3L/4L hyp;;;;hyperinsubrisch
R5;ober- und untermontan;4;;;3L/4L hyp;;;;hyperinsubrisch
R5;ober- und untermontan;4;;;3L/4L hyp;;;;hyperinsubrisch
R5;ober- und untermontan;4;;;3L/4L hyp;;;;hyperinsubrisch
R5;ober- und untermontan;14*;;normal;37 hyp;;;;hyperinsubrisch
R5;ober- und untermontan;14*;;mit viel Schutt;25O hyp;;;;hyperinsubrisch
R5;ober- und untermontan;24*;;;25au hyp;;;;hyperinsubrisch
R5;ober- und untermontan;3s;;normal;42Q hyp;;;;hyperinsubrisch
R5;ober- und untermontan;3s;;flachgründig;42r hyp;;;;hyperinsubrisch
R5;ober- und untermontan;12*;;;36 hyp;;;;hyperinsubrisch
R5;ober- und untermontan;3s;;normal;42Q hyp;;;;hyperinsubrisch
R5;ober- und untermontan;3s;;flachgründig;42r hyp;;;;hyperinsubrisch
R5;ober- und untermontan;24*;;;25au hyp;;;;hyperinsubrisch
R5;ober- und untermontan;keine Angabe;;;66 hyp;;;;hyperinsubrisch
R5;ober- und untermontan;68;;;42r hyp;;;;hyperinsubrisch
R5;ober- und untermontan;42r;;;42r hyp;;;;hyperinsubrisch
R5;ober- und untermontan;16*;;;38* hyp;;;;hyperinsubrisch
R5;ober- und untermontan;14*;;normal;37 hyp;;;;hyperinsubrisch
R5;ober- und untermontan;14*;;mit viel Schutt;25O hyp;;;;hyperinsubrisch
R5;ober- und untermontan;;;;;;;;hyperinsubrisch
R5;ober- und untermontan;24*;;;25au hyp;;;;hyperinsubrisch
R5;ober- und untermontan;3*/4*;;;3LV hyp;;;;hyperinsubrisch
R5;ober- und untermontan;12*h;;;36 hyp;;;;hyperinsubrisch
R5;ober- und untermontan;13*;;;13* hyp;;;;hyperinsubrisch
R5;ober- und untermontan;27h;;;27 hyp;;;;hyperinsubrisch
R5;ober- und untermontan;AV;;;25au hyp;;;;hyperinsubrisch
R5;ober- und untermontan;40Pt;;;40P hyp;;;;hyperinsubrisch
R5;ober- und untermontan;40PBlt;;;25as hyp;;;;hyperinsubrisch
R5;ober- und untermontan;21L;;;25au med;;;;collin -mediterran
R5;ober- und untermontan;21L;;;25au med;;;;collin -mediterran
R5;ober- und untermontan;19P;;;33m  med;;;;collin -mediterran
R5;ober- und untermontan;23*;;;42B  med;;;;collin -mediterran
R5;ober- und untermontan;24;;;25a  med;;;;collin -mediterran
R5;ober- und untermontan;24*;;;25au med;;;;collin -mediterran
R5;ober- und untermontan;32V;;;32C  med;;;;collin -mediterran
R5;ober- und untermontan;32*;;;27  med;;;;collin -mediterran
R5;ober- und untermontan;27;;;27  med;;;;collin -mediterran
R5;ober- und untermontan;40P;;;40P  med;;;;collin -mediterran
R5;ober- und untermontan;40PBl;;;25as  med;;;;collin -mediterran
R5;ober- und untermontan;43S;;;43S  med;;;;collin -mediterran
R5;ober- und untermontan;19a;;;3L/4L  med;;;;collin -mediterran
R5;ober- und untermontan;19a;;;3L/4L  med;;;;collin -mediterran
R5;ober- und untermontan;19m;;;3L/4L  med;;;;collin -mediterran
R5;ober- und untermontan;47H;;;25as  med;;;;collin -mediterran
R5;ober- und untermontan;3;;normal;42V  med;;;;collin -mediterran
R5;ober- und untermontan;3;;tiefgründig;34a  med;;;;collin -mediterran
R5;ober- und untermontan;4;;;3L/4L  med;;;;collin -mediterran
R5;ober- und untermontan;4;;;3L/4L  med;;;;collin -mediterran
R5;ober- und untermontan;4;;;3L/4L  med;;;;collin -mediterran
R5;ober- und untermontan;4;;;3L/4L  med;;;;collin -mediterran
R5;ober- und untermontan;14*;;normal;37  med;;;;collin -mediterran
R5;ober- und untermontan;14*;;mit viel Schutt;25O  med;;;;collin -mediterran
R5;ober- und untermontan;24*;;;25au med;;;;collin -mediterran
R5;ober- und untermontan;3s;;normal;42Q  med;;;;collin -mediterran
R5;ober- und untermontan;3s;;flachgründig;42r  med;;;;collin -mediterran
R5;ober- und untermontan;12*;;;36  med;;;;collin -mediterran
R5;ober- und untermontan;3s;;normal;42Q  med;;;;collin -mediterran
R5;ober- und untermontan;3s;;flachgründig;42r  med;;;;collin -mediterran
R5;ober- und untermontan;24*;;;25au med;;;;collin -mediterran
R5;ober- und untermontan;keine Angabe;;;66  med;;;;collin -mediterran
R5;ober- und untermontan;68;;;42r  med;;;;collin -mediterran
R5;ober- und untermontan;42r;;;42r  med;;;;collin -mediterran
R5;ober- und untermontan;16*;;;38*  med;;;;collin -mediterran
R5;ober- und untermontan;14*;;normal;37  med;;;;collin -mediterran
R5;ober- und untermontan;14*;;mit viel Schutt;25O  med;;;;collin -mediterran
R5;ober- und untermontan;;;;;;;;collin -mediterran
R5;ober- und untermontan;24*;;;25au  med;;;;collin -mediterran
R5;ober- und untermontan;3*/4*;;;3LV  med;;;;collin -mediterran
R5;ober- und untermontan;12*h;;;36  med;;;;collin -mediterran
R5;ober- und untermontan;13*;;;13*  med;;;;collin -mediterran
R5;ober- und untermontan;27h;;;27  med;;;;collin -mediterran
R5;ober- und untermontan;AV;;;25au  med;;;;collin -mediterran
R5;ober- und untermontan;40Pt;;;40P  med;;;;collin -mediterran
R5;ober- und untermontan;40PBlt;;;25as  med;;;;collin -mediterran
